date,RSI_14D,Volume_plain,BB_Middle_Band,BB_Upper_Band,BB_Lower_Band,Aroon_Oscillator,PVT,AB_Middle_Band,AB_Upper_Band,AB_Lower_Band,STOK,STOD,Chaikin_MF,psar,ROC,VWAP,Momentum,CCI,OBV,Kelch_Upper,Kelch_Middle,Kelch_Down,TEMA,NATR,plusDI,minusDI,ADX,MACD,Money_Flow_Index,turning_line,standard_line,ichimoku_span1,ichimoku_span2,chikou_span,WillR,MIN_Volume,MAX_Volume,KAMA
2016-11-08,71.20125896135688,10747107,68.732,71.014,66.45,36.0,-684061.6739036143,68.73200000000006,73.11689671911398,64.3871217191141,54.980750721849425,40.78658927397956,0.3757184227155906,87.79448862527488,21.430827974100808,22.022655416138466,7.882047152230456,123.74117143010595,783493295,74.44708667970458,72.47780096541862,70.50851525113313,609987.798949228,8.667630963311797,11.039028225128675,9.856159738195162,21.861187110280927,4.862901069088451,85.67958457355573,69.7125,68.325,64.90125,61.265,109.7133603052544,223.22539286127613,6309718.0,12189524.0,21.099497088792305
2016-11-07,71.08938547486034,12189524,68.481,70.758,66.203,36.0,714643.2442468276,68.48050000000005,72.88665790144515,64.13438290144528,66.71282798833977,18.469504732912206,1.5938016762933747,85.6910397627474,19.658497427488577,22.01108291380723,7.3790912664682935,116.9962881202123,772746188,73.79172218862661,71.8445793314835,69.89743647434088,568133.8173382623,7.9676694673111825,12.636254732247792,11.3724920056098,24.353529555319717,4.429967997239672,85.55336771851474,69.7625,68.325,64.60875,61.105000000000004,107.05255706862387,178.6962098562044,4976462.0,12189524.0,21.025401514608745
2016-11-04,64.37177280550773,8219490,68.272,70.471,66.073,36.0,42901.95097054439,68.27200000000005,72.5630544708232,64.09327947082332,0.6661891117491997,-10.473047728642237,1.3814965385916234,83.79793578647265,18.243128799391567,21.998090960231767,6.894421109747043,73.92441044111904,760556664,73.12387150856118,71.28244293713236,69.44101436570404,530548.4867284858,7.1959553818172415,7.844039539007386,13.122106160319003,27.290417230895365,4.027121407941095,85.43944095833912,69.7625,68.325,63.818749999999994,60.225,104.71105022038901,152.14496194211264,4976462.0,11830629.0,20.9976497427888
2016-11-03,64.41334768568353,7741593,68.236,70.452,66.02,36.0,-59007.790993705,68.23600000000005,72.43832030523492,64.17992030523504,-11.970502901352639,-17.374569830219006,0.5662621410624976,81.73118349209594,16.65665699401859,21.989859642035807,6.0670905765773995,69.61541011821629,752337174,72.62798497574042,70.86337783288302,69.0987706900261,495125.3601057879,6.330168307229386,9.05081485270083,14.975055951212738,27.615983850849695,3.647118763796101,85.3533341090846,69.795,68.325,63.27374999999999,59.8,102.65052419394233,118.18551133372715,4883160.0,11830629.0,21.03143657584224
2016-11-02,63.28916601714738,7396231,68.205,70.43,65.98,36.0,319732.67370694625,68.20500000000004,72.27705551388583,64.25115551388595,-20.114829396323564,-7.2927842627106685,0.855559292018668,79.91244147304442,15.17631895467004,21.982063898933607,5.33903970738811,88.765286951871,744595581,72.125038110561,70.46757382484644,68.81010953913238,465327.9515290122,5.512903378135916,10.443247906962496,11.345077561873424,28.0710955084993,3.319481167768714,92.62031569167908,69.92500000000001,68.325,62.738749999999996,59.2405,100.83726129066925,93.70715306923843,4883160.0,11830629.0,21.18133800547603
2016-11-01,59.618208516886895,11830629,68.179,70.4,65.957,36.0,-404449.8373914484,68.17850000000004,72.19682205250295,64.25204705250307,-20.038377192981113,-0.665001624429026,2.127344517601547,78.3119484962791,14.01207676844737,21.97433955318786,4.698354942501538,94.28902141300095,737199350,71.62970094279181,69.95684379993442,68.2839866570775,440192.5229566566,5.065302158202027,12.049901431110571,13.09047410985395,31.7529486851232,3.038194097429624,85.8406164522967,69.625,68.325,61.926249999999996,58.6405,99.24158993578894,57.967010770584835,4883160.0,11830629.0,21.545931993856858
2016-10-31,65.06955177743433,6309718,68.141,70.353,65.929,88.0,65999.35155284521,68.14100000000005,71.92413144051685,64.38185644051697,18.274853801172377,10.878368730221126,1.4785943182447254,76.9035146767256,12.89868619965838,21.961856250673716,3.9535146767256037,113.4714516474371,725368721,71.0287075105326,69.50234322481803,67.97597893910398,418983.8136631012,4.644028947536679,13.903732420512197,5.563514746356934,36.00124081199693,2.797936880232143,93.2301946593742,69.38499999999999,68.24000000000001,61.926249999999996,58.6405,97.26456734477848,42.740699207844365,4883160.0,10498025.0,22.26134798894236
2016-10-28,64.20361247947457,7271374,68.006,70.103,65.908,88.0,186942.41484683918,68.00550000000004,71.84925212608535,64.23097712608546,-0.2314814814786391,21.728899556827912,2.0702274141055597,75.66409291551854,12.538731295904034,21.955038236454737,2.7140929155185347,121.11593176936034,719059003,70.51624287537246,68.95523573251505,67.39422858965814,401179.52990690334,4.5596460797984575,16.042768177514073,6.4194400919503085,34.94876918680361,2.5939882118330786,86.39844709735254,69.38499999999999,68.24000000000001,61.3775,58.6405,95.26543656961393,29.34154503263281,4883160.0,10498025.0,23.56490638009629
2016-10-27,58.80495506436731,9716622,67.904,69.918,65.889,88.0,-232959.42140650374,67.90350000000004,71.71922101568612,64.06344601568622,14.591733870969344,44.08383782843225,2.7096193391562533,74.57340176565631,17.069704498675527,21.947166382600123,2.273401765656317,137.82259543348752,711787629,69.98913590119345,68.46955732976461,66.94997875833626,386493.5351219609,4.578368325965065,18.51088635867008,7.407046259942664,33.73437885004209,2.4221404804090554,79.42384548059886,69.235,68.24000000000001,61.2875,58.39,84.77,17.55028935844661,4883160.0,10498025.0,23.58007252722637
2016-10-26,65.06315506584242,8344781,67.74,69.647,65.832,96.0,-129337.43211390288,67.73950000000005,71.36415633226396,63.934981332264066,50.82644628099274,65.76251540464195,1.9335252922680966,73.61359355377756,15.444053774727367,21.936568211797358,2.0005935537775628,165.56339552363244,702071007,69.44804004963021,68.01096147820137,66.57388290677302,374963.8622577022,4.694426352824117,21.358715029234705,4.874195300858043,32.33315923070188,2.2786213405714904,79.28510109442009,69.235,68.11,61.2875,57.24,84.9634,7.173984365162806,4883160.0,10498025.0,23.65129515102593
