date,RSI_14D,Volume_plain,BB_Middle_Band,BB_Upper_Band,BB_Lower_Band,Aroon_Oscillator,PVT,AB_Middle_Band,AB_Upper_Band,AB_Lower_Band,STOK,STOD,Chaikin_MF,psar,ROC,VWAP,Momentum,CCI,OBV,Kelch_Upper,Kelch_Middle,Kelch_Down,TEMA,NATR,plusDI,minusDI,ADX,MACD,Money_Flow_Index,turning_line,standard_line,ichimoku_span1,ichimoku_span2,chikou_span,WillR,MIN_Volume,MAX_Volume,KAMA
2020-07-02,31.524106418413957,30437010,232.746,239.349,226.142,-16.0,-2532398.2647474543,232.7455,251.9083675284835,213.17386752848353,36.432046214654456,43.022575784111346,-1.9455715086726302,233.42,6.71743743298856,90.70516811098963,-4.851024000000024,121.52221477817204,3874664332,237.18393357325104,229.1147550018226,221.04557643039465,12817049.390327249,9.69012531329331,13.962396144495045,13.302092375727053,20.32715122882244,2.372919887605235,57.528174946024976,226.14765,226.14765,212.70770000000002,189.00029999999998,0.0,-30.900084831898962,15236691.0,76343939.0,0.0
2020-07-01,28.61191117718109,43403869,232.389,239.145,225.633,-16.0,1014506.6903257681,232.38899999999998,251.45211352253864,212.81011352253864,64.01693320790172,29.63929147864476,-0.964289827987759,237.55,7.823070701729369,90.6389021221627,30.439999999999998,115.23065558620105,3905101342,236.49933525980836,228.44658525980847,220.3938352598091,13082606.843167555,9.55354032242134,15.43028440781857,15.34856812583891,23.08181365967678,1.9994087064621056,50.337937360098735,226.14765,226.14765,212.70770000000002,189.00029999999998,0.0,-20.05315782147482,15236691.0,76343939.0,0.0
2020-06-30,23.31148040859887,33927068,232.019,238.68,225.359,-16.0,-246124.74342694192,232.01949999999997,250.37824341338165,213.56624341338164,28.618747929777467,-7.468091029699232,0.03661846208036625,240.0,8.202238774691924,90.54626546062917,32.28619999999998,-12.720079722419008,3948505211,235.76694422612462,227.86419422612474,219.96144422612537,12930039.396361835,9.363752693534716,10.008294990213114,17.709886299044893,26.59201654666848,1.0730812177090456,43.109350950664165,226.14765,226.14765,210.8577,187.1503,0.0,-13.618540103426662,15236691.0,76343939.0,0.0
2020-06-29,24.13214221476107,58514281,232.302,238.86,225.744,-12.0,7583881.834974113,232.302,250.38498410277248,214.22048410277247,-3.7178067017453036,-16.65449008946493,-0.37361894074386437,239.5694,7.329355516458482,90.47900007264263,30.435351999999995,-139.6997704380277,3914578143,235.88051565469604,228.19919422612475,220.51787279755393,12234065.693921875,9.278035941114304,6.927104279188971,20.434484191205648,26.408428103398123,-0.3743125038296853,43.19286731668885,226.14765,226.14765,210.8577,187.1503,0.0,-14.749456997055862,15236691.0,76343939.0,0.0
2020-06-26,26.13247198007472,76343939,232.865,238.826,226.905,76.0,-6481715.2575129615,232.86549999999997,250.4735297581683,215.48402975816825,-47.305214317130265,-21.35936753749836,-0.5116814684730814,238.271024,6.585114739431893,90.3707651569771,26.973900880000002,-25.31729320340087,3856063862,236.20100613088653,228.82539898802952,221.44979184517297,10981644.202079909,8.841778562896586,7.992812629833428,17.84034037967821,22.876461270707956,-2.1724257629016392,50.292999221753526,230.29265,230.29265,207.9277,184.2203,0.0,-23.21371951936022,15236691.0,76343939.0,0.0
2020-06-25,32.749583035501544,18704339,233.316,238.181,228.451,76.0,839674.3856028176,233.31599999999997,248.82047307605526,217.1009730760552,1.059550750480377,10.065242564508596,-0.7190392700747815,207.11,-7.35405949452024,90.21745196192879,-6.220413732799983,-98.57134495345454,3779719923,235.1628417023151,228.7550917023152,222.34734170231582,8905454.76460087,9.889115118355548,9.222476111346262,7.922350310865391,20.531343259474486,-4.303674937020332,43.16043959726378,234.99265000000003,233.16000000000003,202.5027,178.7953,0.0,-175.9869287691874,15236691.0,30081291.0,0.0
2020-06-24,34.93545412632551,20834904,232.805,237.938,227.672,96.0,-1010207.6906972659,232.80499999999998,248.85281714376447,216.36501714376442,-17.832439045845607,28.517900150420072,0.22949232072933526,207.71380000000002,-7.620396449126596,90.1768124570872,-7.527906908831966,-60.821117019424825,3798424262,235.85651551183892,229.34308694041047,222.82965836898248,9056776.155018868,9.512744132371646,10.641318590014917,9.141173435613913,22.52336590668003,-3.7885661674478968,50.33607901839765,234.84265,229.00765,199.89520000000002,176.18779999999998,0.0,-173.1961193050246,15236691.0,30081291.0,0.0
2020-06-23,39.94201752652041,24017915,232.561,237.749,227.373,64.0,269144.75634547544,232.56099999999998,248.10467099666116,215.89554599666107,46.968615988890605,55.27267719300304,0.38407562412192503,209.134048,-14.703675954471986,90.13060066874462,-7.904274494302058,20.14280340115723,3819259166,236.0197060832675,229.7577060832676,223.4957060832682,9284295.344859468,8.945550707361436,12.278444526940289,4.957145940720798,24.82185357653258,-3.1374714663943735,50.24524288370088,234.36765000000003,228.06265000000002,199.89520000000002,176.18779999999998,0.0,-166.63162516812804,15236691.0,30081291.0,0.0
2020-06-22,42.17146742489802,18917782,232.059,236.72,227.398,68.0,-329296.09859178786,232.05899999999997,248.29305693598354,215.1077569359834,56.417523508214806,53.08840939387514,-0.670217599093784,211.29712312,-13.681515309480046,90.0756440716838,-7.4300180246439425,-22.102048429204448,3843277081,236.19507379374366,230.01916665088666,223.84325950803012,9557525.78588766,8.204505581167224,10.478965495823878,5.719783777754766,22.10555507422884,-2.4054089866294817,50.30179863610529,232.38,222.66500000000002,199.26155,176.18779999999998,0.0,-169.382088788222,15236691.0,30081291.0,0.0
2020-06-19,42.50906409389787,30081291,231.843,236.248,227.439,72.0,335888.8274306011,231.84349999999995,248.41185977105778,214.36155977105764,62.431892081903314,51.05262553106013,-0.5520158414511868,213.3304137328,-12.56258348808198,90.03338572397425,-6.984216943165308,-14.269949208369765,3862194863,236.71432953294365,230.34913667580093,223.98394381865867,9819382.774521798,7.7423433347769866,12.091114033642935,6.599750512793961,20.986419975813526,-1.6562836666875853,57.4937247518149,232.38,220.95,198.82905,176.18779999999998,0.0,-157.86855190939986,15236691.0,30081291.0,0.0
