date,RSI_14D,Volume_plain,BB_Middle_Band,BB_Upper_Band,BB_Lower_Band,Aroon_Oscillator,PVT,AB_Middle_Band,AB_Upper_Band,AB_Lower_Band,STOK,STOD,Chaikin_MF,psar,ROC,VWAP,Momentum,CCI,OBV,Kelch_Upper,Kelch_Middle,Kelch_Down,TEMA,NATR,plusDI,minusDI,ADX,MACD,Money_Flow_Index,turning_line,standard_line,ichimoku_span1,ichimoku_span2,chikou_span,WillR,MIN_Volume,MAX_Volume,KAMA
2002-03-26,47.741935483871,8144000,104.907,107.7,102.113,48.0,69374.94851469486,104.90650000000012,111.52303728841204,98.67803728841186,-22.15401785713728,-16.846188568704726,-0.2545324755839619,92.58934540186117,-14.93858943329245,106.10928960050697,-7.358350403746584,-127.25473248415143,-43553200,107.32808925010684,104.94880353582121,102.56951782153554,815236.1041284464,5.9375542743777565,4.996468033096119,13.28719600403783,24.023469200611526,-2.42583146504721,21.814956955868,105.47,102.305,108.9625,113.695,77.683985312,-248.25426867387534,4614800.0,11059300.0,124.81704928127064
2002-03-25,44.193725921849214,6277900,104.619,107.885,101.353,48.0,-60411.14051405528,104.61900000000011,111.17722603528871,98.38222603528851,-33.23529411764018,-0.5571166264759105,-1.7773698013861596,94.4248370456006,-13.084649258467786,106.11416359808379,-6.913319598885607,-87.22735674170386,-35409200,107.71824769291968,105.41467626434833,103.11110483577694,864037.0920740332,5.215930476735688,5.765155422803215,11.973236251078099,20.743233261099096,-1.8997618719737517,28.949762313239532,106.075,102.305,109.7875,113.695,78.42606648704,-257.1330294901854,4614800.0,11059300.0,122.4083448405792
2002-03-22,49.083129584352044,5507900,104.356,107.911,100.801,-20.0,-122902.18876211837,104.35600000000014,110.70128499126467,98.16378499126448,4.850746268663342,5.759409984168589,-1.7531165329441194,96.3824631183045,-11.017335279825236,106.11600899270847,-6.298062197284466,-48.37094561595052,-29131300,107.99507157278633,105.7500715727864,103.50507157278646,914536.5988632472,4.612538174003831,6.652102410926785,8.911071640749157,18.550193516414463,-1.387559295130231,36.03280157939943,106.775,102.45500000000001,109.82499999999999,113.695,79.1087811680768,-222.23773407656853,4614800.0,11059300.0,120.75794468243784
2002-03-21,53.36703081689221,5113100,103.999,107.774,100.223,-20.0,151716.23475786773,103.99850000000012,110.5121001333069,97.52210013330672,26.713197969549164,17.967631173305016,0.9333989562326946,98.23961975700969,-9.047023392142828,106.11637121985432,-5.632800495461481,-26.706542511066445,-23623400,108.3413261080648,105.96989753663628,103.59846896520777,962950.8309825993,4.217577670493213,7.675502781838599,10.282005739325951,19.171017710338884,-0.9129417983415209,43.08912615069513,106.225,102.45500000000001,109.82499999999999,113.695,80.02290305126913,-185.4961580942361,4614800.0,11059300.0,119.43839806721984
2002-03-20,60.38232442166501,4844100,103.479,107.555,99.402,-20.000000000000004,-139148.05085289507,103.47850000000012,110.32401164439314,96.93151164439296,-14.28571428570668,9.852992198708217,2.5169860310296293,99.94769580560775,-7.219723095750834,106.11691987491024,-4.878240396369193,-0.5907504408908577,-18510300,108.50318138318364,105.9517528117551,103.40032424032658,1007797.7868081497,4.23109500700702,8.856349363659922,8.930502184819925,19.887353318713213,-0.4829704431325723,50.03941261974233,106.225,102.45500000000001,109.4225,113.695,81.10975468511683,-86.0126009120024,4614800.0,11059300.0,118.26240929239538
2002-03-19,61.47336983573909,4614800,103.169,107.319,99.019,-20.0,71309.72669691352,103.16900000000012,110.1416441112921,96.35164411129192,41.47540983607262,21.526074605323412,0.6221711215389688,101.3381566444862,-5.606857789356789,106.11681189263027,-4.250592317095354,29.106213495412593,-13666200,108.32990291162153,105.75204576876443,103.17418862590736,1047867.3947758251,4.3212678232387916,10.218864650376833,6.666439126452831,22.882808162354273,-0.10105881371393366,56.97718572837812,106.04499999999999,102.45500000000001,109.4225,113.695,82.06618412290281,-68.10374755678866,4614800.0,11059300.0,117.12266202786687
2002-03-18,60.72395128552088,5301200,102.86,106.899,98.82,-20.0,-41205.97544988179,102.85950000000014,109.97031736233797,95.83531736233779,2.3692810457587656,14.050144342506906,-1.4674910751432697,102.68052531558897,-3.6135123293072704,106.11529055890357,-5.96947468441104,44.38691219969314,-9051400,108.15768013437186,105.43339442008619,102.70910870580055,1086480.629232994,4.416803429919079,11.79099767351173,7.6920451459071115,23.16653795855365,0.24629505425768627,63.98048459230318,106.04499999999999,102.45500000000001,109.64999999999999,113.695,83.18111834569642,-50.77756941902084,5301200.0,11978700.0,116.15670865188835
2002-03-15,57.610527160394774,10864100,102.687,106.642,98.731,-20.0,48236.611239812686,102.68650000000014,109.8492680390859,95.54176803908574,20.7335329341389,26.101653835191986,0.3115198450844642,103.87242025247117,-1.5285422615664381,106.11328755117859,-4.9775797475288215,45.06877093077452,-3750200,107.78278496019117,105.00207067447693,102.22135638876271,1122470.126758866,4.515684935480743,9.568195286257273,8.875436706815897,23.493918492629856,0.5493848893490707,63.83252491683312,106.04499999999999,102.45500000000001,109.77,113.695,90.03,-38.705907834594264,5335500.0,11978700.0,115.62420557531904
2002-03-14,63.83841417630272,5335500,102.742,106.764,98.719,-20.0,49100.84666734785,102.74150000000013,109.94340168744971,95.61340168744954,19.047619047623108,44.19047619048043,-0.6198313729130943,104.82593620197694,0.5477037996486241,106.11201854338304,-4.02406379802305,62.301442868965395,7113900,107.38278779989423,104.58278779989428,101.78278779989435,1156960.059093103,4.616182183378702,11.040225330296852,6.960972221081592,26.530508190079605,0.8068901050835109,70.90241657098335,105.99,102.45500000000001,109.77,113.695,89.9094,-31.291320357877527,5335500.0,11978700.0,115.69997221157428
2002-03-13,62.38475722188078,6409200,102.815,106.925,98.705,-19.999999999999996,-420555.5664349384,102.81500000000014,110.07163490400417,95.49163490400397,38.52380952381401,46.74189581936528,-0.09932158376857275,105.58874896158156,2.5805342547343306,106.11024138636546,-3.0512510384184424,76.21031325473984,12449400,106.99364010929477,104.04506868072339,101.09649725215205,1195532.4046511997,4.759351563906701,12.738721534957909,7.682165251724486,27.12581566207291,1.0267385549609855,78.06036041884695,103.675,102.45500000000001,109.91,113.695,89.791212,-24.91406446461756,6409200.0,11978700.0,116.4624203808337
